Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Egypt,903,Africa,912,Northern Africa,902,Less developed regions,2833,3366,2800,2600,2642,2802,2989,3377,3016,3717,4117,5602,3576,3556,3392,5648,6186,5029,4826,4421,4450,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978,7778,8988,10294
Immigrants,Foreigners,El Salvador,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,6101,8210,7107,8596,8787,10156,10929,10693,12045,57878,80173,47351,26191,26818,17644,11744,17902,17955,14577,14581,22543,31089,31060,28231,29807,21359,31782,21127,19659,19909,18806,18667,16256,18260
Immigrants,Foreigners,Equatorial Guinea,903,Africa,911,Middle Africa,902,Less developed regions,15,8,1,4,0,1,1,0,1,..,5,5,..,..,..,..,..,..,7,..,5,3,8,..,13,10,13,4,16,32,12,13,20,18
Immigrants,Foreigners,Eritrea,903,Africa,910,Eastern Africa,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,..,85,468,992,828,947,641,325,382,540,560,556,675,796,1593,1081,1270,1928,1656,2102,2643,2138
Immigrants,Foreigners,Estonia,908,Europe,924,Northern Europe,901,More developed regions,20,22,17,16,9,7,6,15,11,14,20,23,194,191,272,205,280,285,128,142,239,348,343,235,322,438,423,368,287,282,260,191,227,211
Immigrants,Foreigners,Ethiopia,903,Africa,910,Eastern Africa,902,Less developed regions,977,1749,1810,2643,2461,3362,2737,2156,2571,3389,4336,5127,4602,5191,3887,5960,6084,5893,4199,4262,4053,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266,13793,14544,13097
Immigrants,Foreigners,Falkland Islands (Malvinas),904,Latin America and the Caribbean,931,South America,902,Less developed regions,3,2,0,0,1,0,0,0,1,0,..,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Fiji,909,Oceania,928,Melanesia,902,Less developed regions,724,1060,659,712,901,980,972,1205,1028,968,1353,1349,807,854,1007,1491,1847,1549,1717,1599,1483,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201,1041,853,895
Immigrants,Foreigners,Finland,908,Europe,924,Northern Europe,901,More developed regions,356,317,346,311,264,290,322,331,390,325,369,333,525,544,471,476,602,372,314,307,377,497,426,241,388,574,542,426,302,423,397,363,348,331
Immigrants,Foreigners,France,908,Europe,926,Western Europe,901,More developed regions,1905,1745,1994,2061,2135,2187,2518,2513,2524,2598,2849,2450,3288,2864,2715,2505,3078,2564,2342,2196,3442,4569,3797,2375,3595,4399,4258,3423,4872,4491,3861,3653,3862,4425
Immigrants,Foreigners,French Guiana,904,Latin America and the Caribbean,931,South America,902,Less developed regions,14,7,5,5,1,0,1,0,3,..,..,..,..,6,10,4,5,6,..,5,13,8,6,4,..,8,15,9,6,18,9,..,..,..
Immigrants,Foreigners,French Polynesia,909,Oceania,957,Polynesia,902,Less developed regions,41,38,33,34,59,29,19,34,32,22,29,31,24,28,19,25,15,21,14,9,13,16,12,14,13,19,37,27,26,30,16,21,30,-
Immigrants,Foreigners,Gabon,903,Africa,911,Middle Africa,902,Less developed regions,2,7,0,7,2,3,8,5,3,7,11,11,9,5,11,13,29,24,21,4,18,32,41,40,50,66,85,95,82,171,138,204,197,127
Immigrants,Foreigners,Gambia,903,Africa,914,Western Africa,902,Less developed regions,27,27,21,33,27,34,33,37,55,71,170,159,93,76,93,153,207,175,226,183,231,390,343,263,422,581,897,826,739,978,859,972,1159,1018
Immigrants,Foreigners,Georgia,935,Asia,922,Western Asia,902,Less developed regions,0,0,259,460,128,126,136,108,110,137,105,..,426,429,652,710,1157,812,295,310,493,786,886,735,964,1389,2003,1554,1620,1578,1518,1490,1341,1368
Immigrants,Foreigners,Germany,908,Europe,926,Western Europe,901,More developed regions,6595,6552,6467,6725,6747,7109,6991,7210,6645,6708,7388,6509,9888,7312,6992,6237,6743,5714,5440,5166,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032
Immigrants,Foreigners,Ghana,903,Africa,914,Western Africa,902,Less developed regions,1159,951,824,976,1050,1041,1164,1120,1239,2045,4466,3330,1867,1604,1458,3152,6602,5093,4455,3707,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265
Immigrants,Foreigners,Gibraltar,908,Europe,925,Southern Europe,901,More developed regions,8,33,21,12,4,0,2,4,1,..,..,..,4,5,6,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Greece,908,Europe,925,Southern Europe,901,More developed regions,4699,4361,3472,2997,2865,2579,2512,2653,2458,2491,2742,2079,1858,1884,1440,1309,1439,1042,855,719,950,1155,1009,651,769,1070,1124,882,769,798,745,949,1054,1361
Immigrants,Foreigners,Greenland,905,Northern America,905,Northern America,901,More developed regions,7,5,4,5,1,0,1,1,1,..,3,8,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Grenada,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,1198,1120,1066,1154,980,934,1045,1098,842,1046,1294,979,848,827,595,583,785,755,655,661,655,645,634,481,609,840,1068,751,784,748,664,579,671,687
Immigrants,Foreigners,Guadeloupe,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,51,74,40,31,31,28,38,37,54,38,54,34,50,49,41,48,52,52,30,54,51,84,38,35,59,48,53,38,33,32,34,..,..,..
Immigrants,Foreigners,Guatemala,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,3751,3928,3633,4090,3937,4389,5158,5729,5723,19049,32303,25527,10521,11870,7389,6213,8762,7780,7747,7294,9942,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467,11092,10341,10224
Immigrants,Foreigners,Guinea,903,Africa,914,Western Africa,902,Less developed regions,18,16,27,23,11,17,21,26,33,45,67,84,104,102,97,152,220,158,46,5,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518
Immigrants,Foreigners,Guinea-Bissau,903,Africa,914,Western Africa,902,Less developed regions,11,7,10,2,2,1,0,0,2,9,8,14,8,..,0,..,3,24,165,134,204,273,289,176,5,26,25,25,17,20,30,29,47,43
Immigrants,Foreigners,Guyana,904,Latin America and the Caribbean,931,South America,902,Less developed regions,8381,6743,10059,8980,8412,8531,10367,11384,8747,10789,11362,11666,9064,8384,7662,7362,9489,7253,3960,3290,5719,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749,6599,5683,5897
Immigrants,Foreigners,Haiti,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,6540,6683,8779,8424,9839,10165,12666,14819,34806,13658,20324,47527,11002,10094,13333,14021,18383,15053,13434,16514,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351
Immigrants,Foreigners,Honduras,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,2552,2358,3186,3619,3405,3726,4532,4751,4302,7593,12024,11451,6552,7306,5265,5496,5866,7614,6456,4793,5917,6571,6435,4645,5508,7012,8177,7646,6540,6404,6448,6133,6884,8898
Immigrants,Foreigners,Hungary,908,Europe,923,Eastern Europe,901,More developed regions,819,581,642,632,825,1009,1006,994,1227,1193,1655,1534,1304,1091,880,900,1183,947,806,694,1023,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022,1044,1054,1052
Immigrants,Foreigners,Iceland,908,Europe,924,Northern Europe,901,More developed regions,186,176,126,183,118,117,133,88,92,124,107,117,156,164,140,125,182,119,111,79,129,134,93,97,105,135,145,95,122,131,105,90,103,139
Immigrants,Foreigners,India,935,Asia,5501,Southern Asia,902,Less developed regions,22607,21522,21738,25451,24964,26026,26227,27803,26268,31175,30667,45064,36755,40121,34921,34748,44838,38048,36414,30157,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458
Immigrants,Foreigners,Indonesia,935,Asia,920,South-Eastern Asia,902,Less developed regions,977,1006,1194,952,1113,1269,1183,1254,1342,1513,3498,2223,2916,1767,1367,1020,1084,905,1017,1186,1767,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032,2856,2603,2731
Immigrants,Foreigners,Iran (Islamic Republic of),935,Asia,5501,Southern Asia,902,Less developed regions,10410,11105,10314,11163,13807,16071,16505,14426,15246,21243,24977,19569,13233,14841,11422,9201,11084,9635,7873,7176,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863
Immigrants,Foreigners,Iraq,935,Asia,922,Western Asia,902,Less developed regions,2658,2535,3105,2343,2930,1951,1323,1072,1022,1516,1756,1494,4111,4072,6025,5596,5479,3243,2217,3360,5087,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855,21133,20369,9552
Immigrants,Foreigners,Ireland,908,Europe,924,Northern Europe,901,More developed regions,1006,902,949,1101,1223,1397,1839,3060,5058,6961,10333,4767,12226,13590,17256,5315,1731,998,944,804,1296,1505,1398,983,1531,2088,1906,1503,1465,1637,1507,1371,1514,1626
Immigrants,Foreigners,Israel,935,Asia,922,Western Asia,902,Less developed regions,3517,3542,3356,3239,3066,3113,3790,3699,3640,4244,4664,4181,5104,4494,3425,2523,3125,2445,1982,1847,2783,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515,3826,4153,3996
Immigrants,Foreigners,Italy,908,Europe,925,Southern Europe,901,More developed regions,5467,4662,3644,3225,3130,3214,3089,2784,2949,2910,3287,2619,2592,2487,2305,2231,2490,1976,1817,1512,2448,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579,2443,2673,2960
Immigrants,Foreigners,Jamaica,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,18970,23569,18711,19535,19822,18923,19595,23148,20966,24523,25013,23828,18915,17241,14349,16398,19084,17833,15123,14693,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400
Immigrants,Foreigners,Japan,935,Asia,906,Eastern Asia,901,More developed regions,4225,3896,3903,4092,4043,4086,3959,4174,4512,4849,5734,5049,11028,6908,6093,4837,6007,5092,5128,4202,7049,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264,6161,6061,5925
Immigrants,Foreigners,Jordan,935,Asia,922,Western Asia,902,Less developed regions,3322,3825,2923,2718,2438,2998,3081,3125,3232,3921,4449,4259,4036,4741,3990,3649,4444,4170,3244,3269,3900,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868,3876,4099,4188
Immigrants,Foreigners,Kazakhstan,935,Asia,5500,Central Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,506,628,750,840,1089,1025,539,723,1493,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282,1235,1202,1241
